"Document","ID_chaine","Cluster","Enchaînement_nature","Annotation_corpus","Mots_contexte"
"FR100361","c85","Classe 3","(SNind,1)-(Pro,1)-(Sujet_zero,1)-(Pro,1)","EVENT -> Non annoté -> EVENT -> Non annoté","processus, Il, englobe, Il"
"FR100361","c89","Classe 3","(SNdef,1)-(Pro,1)","BODYPART -> Non annoté","la carotide interne intracaverneuse, qui"
"FR100361","c102","Classe 3","(SNdef,1)-(Pro,1)","EVENT -> Non annoté","diagnostic, celui"
"FR100361","c117","Classe 2","(SN∅,1)-(SNdef,1)","EVENT -> EVENT","antibiothérapie, traitement"
"FR100371","c1","Classe 3","(SNind,1)-(SNdef,1)-(Poss,1)-(Pro,1)-(Poss,1)-(SNdef,1)-(Pro,2)-(SNdef,1)-(Poss,1)-(SNdef,1)","ACTOR (PATIENT) -> ACTOR (PATIENT) -> Non annoté -> ACTOR (PATIENT) -> Non annoté -> ACTOR (PATIENT) -> ACTOR (PATIENT) -> ACTOR (PATIENT) -> ACTOR (PATIENT) -> Non annoté -> ACTOR (PATIENT)","Une femme de 60 ans, La patiente, son, Elle, ses, La patiente, Elle, Elle, La patiente, son, La patiente"
"FR100371","c7","Classe 4","(SNind,2)-(Pro,1)-(SNdef,2)-(Poss,1)-(SNdef,4)-(Poss,1)-(SNdef,1)","EVENT/CLINENTITY -> EVENT -> Non annoté -> EVENT -> EVENT/CLINENTITY -> Non annoté -> EVENT/CLINENTITY -> EVENT/CLINENTITY -> EVENT/CLINENTITY -> EVENT -> Non annoté -> EVENT","tuméfaction, tumeur, dont, tumeur, masse, sa, masse, masse, masse, tumeur, sa, tumeur"
"FR100371","c11","Classe 3","(SNdef,2)","EVENT -> EVENT","pièce, pièce"
"FR100371","c12","Classe 3","(SN∅,1)-(SNdef,2)","EVENT -> EVENT -> EVENT","examen, examen, examen"
"FR100371","c27","Classe 1","(SNind,1)-(SNdem,1)-(SNdef,2)","EVENT/CLINENTITY -> EVENT/CLINENTITY -> EVENT/CLINENTITY -> EVENT","tuméfaction, lésion, lésion, tumeur"
"FR100371","c34","Classe 1","(SNind,1)-(SNdef,1)","EVENT -> EVENT","douleur, douleur"
"FR100371","c38","Classe 3","(SNdef,2)","EVENT -> EVENT","bilan, bilan"
"FR100371","c65","Classe 1","(SNind,1)-(SNdef,1)","EVENT -> EVENT","opacité, opacité"
"FR100371","c71","Classe 3","(SNdef,2)","BODYPART -> BODYPART","du sternum, du sternum"
"FR100371","c77","Classe 1","(SNind,1)-(SNposs,1)","EVENT -> EVENT","intervention, intervention"
"FR100371","c78","Classe 2","(SNdef,1)-(SNdem,1)","EVENT -> EVENT","exérèse, ablation"
"FR100371","c94","Classe 2","(SNdef,1)-(SNnum,1)","EVENT -> RML","tension, 130/85 mmHg"
"FR100400","c1","Classe 1","(Np,1)-(Poss,1)-(SNind,1)-(SNdef,3)","ACTOR (PATIENT) -> Non annoté -> ACTOR (PATIENT) -> ACTOR (PATIENT) -> ACTOR (PATIENT) -> ACTOR (PATIENT)","Madame Z.O, Son, La patiente, La patiente, La patiente, La patiente"
"FR100400","c11","Classe 3","(SNdef,3)","CLINENTITY -> CLINENTITY -> CLINENTITY","douleurs de l'hypochondre, douleurs de l'hypocondre, douleurs de l'hypocondre"
"FR100400","c10","Classe 3","(SNdef,2)","EVENT -> EVENT","douleurs, douleurs"
"FR100400","c32","Classe 1","(SNind,2)-(SNdef,1)","EVENT -> EVENT -> EVENT","masse, kyste, kyste"
"FR100400","c34","Classe 3","(SNdef,4)","BODYPART -> BODYPART -> BODYPART -> BODYPART","la loge surrénalienne droite, la surrénale, la loge surrénalienne droite, la surrénale"
"FR100400","c37","Classe 1","(SNdef,1)-(SNind,2)","EVENT -> EVENT -> EVENT","diagnostic, kyste, kyste"
"FR100400","c50","Classe 1","(SNind,1)-(SNdef,1)","EVENT -> Non annoté","drainage, le drain"
"FR100439","c1","Classe 2","(Np,1)-(SNdef,1)","ACTOR (PATIENT) -> ACTOR (PATIENT)","Mme A.K âgée de 57 ans, La patiente"
"FR100439","c12","Classe 3","(SNdef,2)","BODYPART -> BODYPART","la paroi postérieure du rhinopharynx, la paroi postérieure du rhinopharynx"
"FR100439","c11","Classe 3","(SNind,1)-(Pro,1)-(SNdem,1)-(Poss,1)-(SNdef,5)","EVENT/CLINENTITY -> Non annoté -> EVENT/CLINENTITY -> Non annoté -> Non annoté -> EVENT/CLINENTITY -> BODYPART -> EVENT/CLINENTITY -> EVENT/CLINENTITY","tumeur, qui, tumeur, sa, formation, lésion, du site tumoral rhinopharyngé, tumeur, lésion"
"FR100439","c18","Classe 3","(SNdef,2)","EVENT -> EVENT","prélèvements, prélèvements"
"FR100439","c34","Classe 1","(SNind,1)-(SNdef,1)","EVENT -> EVENT","adénopathie, adénopathie"
"FR100439","c42","Classe 1","(SNind,1)-(SNdem,1)","EVENT -> EVENT","biopsies, biopsies"
"FR100439","c47","Classe 1","(SNind,1)-(SNdem,1)-(SNdef,1)","EVENT -> EVENT -> EVENT","analyse, analyse, exploration"
"FR100439","c65","Classe 1","(SNind,1)-(SNdef,1)","EVENT -> EVENT","lymphome, lymphome"
"FR100439","c68","Classe 2","(SNind,1)-(Np,1)-(SNdem,1)","EVENT -> EVENT -> EVENT","Tomographie, TEP, examen"
"FR100439","c85","Classe 1","(SNind,1)-(SNdef,2)","EVENT -> EVENT -> EVENT","traitement, traitement, traitement"
"FR100439","c106","Classe 3","(SNdef,2)","EVENT -> EVENT","fin, fin"
"FR100448","c1","Classe 2","(Np,1)-(Pro,1)","ACTOR (PATIENT) -> Non annoté","Mme G.B âgée de 51 ans, qui"
"FR100448","c6","Classe 1","(SNind,2)","EVENT/CLINENTITY -> EVENT/CLINENTITY","masse, masse"
"FR100448","c10","Classe 3","(SNdef,2)","BODYPART -> BODYPART","du lobe gauche de la thyroïde, du lobe gauche de la thyroïde"
"FR100448","c16","Classe 2","(SN∅,1)-(SNdef,1)","EVENT/CLINENTITY -> EVENT/CLINENTITY","dysthyroïde, maladie"
"FR100448","c38","Classe 3","(SNdef,3)","EVENT -> Non annoté -> Non annoté","scanner, TEP, TEP"
"FR100453","c1","Classe 1","(SNind,1)-(SNdem,1)-(Pro,1)-(SNdem,1)","ACTOR (PATIENT) -> ACTOR (PATIENT) -> ACTOR (PATIENT) -> ACTOR (PATIENT)","Ce patient, Cet enfant, il, Ce patient"
"FR100453","c10","Classe 3","(SNdef,4)","BODYPART -> BODYPART -> BODYPART -> BODYPART","des membres supérieurs, des membres supérieurs, des membres supérieurs, des membres supérieurs"
"FR100453","c13","Classe 3","(SNdef,2)","BODYPART -> BODYPART","des membres supérieurs et du thorax, des membres supérieurs et du thorax"
"FR100453","c12","Classe 1","(SNind,2)","EVENT/CLINENTITY -> EVENT/CLINENTITY","hypertrophie, hypertrophie"
"FR100453","c14","Classe 1","(SNind,2)","EVENT/CLINENTITY -> EVENT/CLINENTITY","scoliose, scoliose"
"FR100453","c21","Classe 2","(SN∅,2)","EVENT -> EVENT","anomalies, anomalie"
"FR100480","c1","Classe 4","(Np,1)-(Pro,1)-(SNdef,4)-(Pro,1)-(SNdef,3)-(Poss,1)-(Pro,1)-(Poss,1)-(Pro,1)-(Poss,1)","ACTOR (PATIENT) -> Non annoté -> ACTOR (PATIENT) -> ACTOR (PATIENT) -> ACTOR (PATIENT) -> ACTOR (PATIENT) -> ACTOR (PATIENT) -> ACTOR (PATIENT) -> ACTOR (PATIENT) -> ACTOR (PATIENT) -> Non annoté -> ACTOR (PATIENT) -> BODYPART -> Non annoté -> Non annoté","Mme H.O âgée de 55 ans, qui, La patiente, La patiente, La patiente, La patiente, Elle, La patiente, La patiente, La patiente, son, Elle, sa main, lui, ses"
"FR100480","c5","Classe 1","(SNind,1)-(SNdef,1)","EVENT/CLINENTITY -> EVENT/CLINENTITY","lésion, lésion"
"FR100480","c9","Classe 1","(SNdef,1)-(SNposs,1)","CLINENTITY -> CLINENTITY","destruction partielle de la tablette unguéale du 3 ème doigt de la main gauche, destruction partielle de la tablette unguéale du 3 ème doigt de la main gauche"
"FR100480","c20","Classe 2","(SN∅,2)","CLINENTITY -> CLINENTITY","mélanome malin niveau V de Clark, mélanome malin niveau V de Clark"
"FR100480","c21","Classe 2","(Np,2)","CLINENTITY -> CLINENTITY","mélanome malin niveau V de Clark, mélanome malin niveau V de Clark"
"FR100480","c24","Classe 1","(SNind,1)-(SNdef,1)","EVENT -> EVENT","amputation, amputation"
"FR100480","c40","Classe 3","(SNdef,1)-(Poss,1)-(SNdef,1)","CLINENTITY -> Non annoté -> CLINENTITY","moignon, son, moignon"
"FR100480","c46","Classe 1","(SNind,1)-(Pro,1)","EVENT/CLINENTITY -> Non annoté","tuméfaction, qui"
"FR100480","c66","Classe 2","(SNnum,2)","EVENT -> EVENT","nodules, nodules"
"FR100510","c1","Classe 1","(Pro,1)-(SNind,1)","Non annoté -> ACTOR (PATIENT)","qui, un patient âgé de 21 ans"
"FR100510","c4","Classe 1","(SNind,2)-(SNdef,2)","EVENT/CLINENTITY -> EVENT -> EVENT -> EVENT","tuméfaction, lésion, lésion, lésion"
"FR100510","c9","Classe 1","(SNind,2)-(Pro,1)-(SNdef,1)","EVENT -> EVENT -> Non annoté -> EVENT","masse, masse, qui, masse"
"FR100510","c13","Classe 3","(SNdef,5)","BODYPART -> BODYPART -> BODYPART -> BODYPART -> BODYPART","du pédicule supéro-interne de la scapula, du pédicule supéro-interne de la scapula, du pédicule supéro-interne de la scapula, la sacpula, du pédicule supéro-interne de la scapula"
"FR100510","c16","Classe 3","(SNdef,2)","BODYPART -> BODYPART","l'épaule, l'épaule"
"FR100510","c22","Classe 1","(SNind,1)-(Pro,1)","EVENT -> Non annoté","TDM, qui"
"FR100510","c23","Classe 1","(SNind,1)-(SNdef,1)","EVENT -> EVENT","tumeur, tumeur"
"FR100510","c24","Classe 3","(SNdef,2)","BODYPART -> BODYPART","la fosse sus épineuse de la scapula, la fosse sus épineuse de la scapula"
"FR100510","c31","Classe 1","(SNind,1)-(Pro,1)","EVENT -> Non annoté","biopsie, dont"
"FR100510","c33","Classe 1","(SNind,2)","EVENT -> EVENT","kyste, kyste"
"FR100510","c35","Classe 1","(SNind,1)-(SNdef,1)","EVENT -> EVENT","exerce, intervention"
"FR100510","c44","Classe 1","(SNind,1)-(SNdef,1)","EVENT -> EVENT","résection, excision"
"FR100510","c54","Classe 2","(SNdef,1)-(SNdem,1)","EVENT -> EVENT","espaces, caractéristiques"
"FR100515","c4","Classe 3","(SN∅,1)-(SNdef,3)","EVENT/CLINENTITY -> EVENT -> EVENT -> EVENT/CLINENTITY","myalgies, atteinte, atteinte, myalgies"
"FR100515","c7","Classe 1","(SNind,1)-(SNdef,1)","EVENT -> EVENT","placards, lésions"
"FR100515","c18","Classe 1","(SNind,1)-(SNdef,1)","EVENT -> EVENT","déficit, déficit"
"FR100515","c23","Classe 2","(SNind,1)-(SN∅,1)","EVENT -> Non annoté","créatine, CPK"
"FR100515","c46","Classe 3","(SNdef,1)-(Pro,1)","BODYPART -> Non annoté","L'hypoderme, Elle"
"FR100515","c88","Classe 2","(SNdef,1)-(Np,1)","EVENT -> EVENT","méthotrexate, méthotrexate"
"FR100515","c96","Classe 2","(SN∅,1)-(SNdef,1)","EVENT -> EVENT","résistance, résistance"
"FR100515","c98","Classe 3","(SNdef,4)","EVENT -> EVENT/CLINENTITY -> EVENT -> EVENT","lésions, panniculite, lésions, lésions"
"FR100515","c99","Classe 2","(SN∅,2)","EVENT/CLINENTITY -> EVENT/CLINENTITY","panniculite, panniculite"
"FR100515","c104","Classe 2","(SNdef,1)-(Np,1)","EVENT -> EVENT","dapsone, dapsone"
"FR100515","c114","Classe 2","(SN∅,2)-(SNdef,1)-(SN∅,1)","Non annoté -> Non annoté -> EVENT -> EVENT","Immunoglobulines polyvalentes intraveineuses, IgIV, Ig, Ig"
"FR100515","c115","Classe 2","(SNnum,2)","EVENT -> EVENT","cures, cures"
"FR100515","c118","Classe 1","(SNdef,1)-(SNind,1)","EVENT -> EVENT","évolution, rémission"
"FR100515","c119","Classe 3","(SNdef,2)","EVENT -> EVENT","cure, cure"
"FR100517","c1","Classe 3","(Np,1)-(Pro,2)-(SNdef,1)-(Poss,1)-(Np,1)-(SNdef,1)","ACTOR (PATIENT) -> ACTOR (PATIENT) -> ACTOR (PATIENT) -> ACTOR (PATIENT) -> Non annoté -> ACTOR (PATIENT) -> ACTOR (PATIENT)","Madame H., Elle, Elle, la patiente, son, Madame H., la patiente"
"FR100517","c5","Classe 2","(SN∅,1)-(Pro,1)","CLINENTITY -> Non annoté","arthralgies, Elles"
"FR100517","c20","Classe 3","(SNdef,2)","BODYPART -> BODYPART","des paupières, des paupières"
"FR100517","c19","Classe 1","(Autre,1)-(SNind,1)","CLINENTITY -> EVENT/CLINENTITY","érythrœdème, érythème"
"FR100517","c17","Classe 1","(SNind,1)-(SNposs,1)","EVENT/CLINENTITY -> EVENT/CLINENTITY","asthénie, asthénie"
"FR100517","c27","Classe 2","(SNdef,1)-(SN∅,1)","EVENT/CLINENTITY -> BODYPART","ulcérations, papules de Gottron"
"FR100517","c23","Classe 1","(SNind,1)-(SNdem,1)","EVENT/CLINENTITY -> EVENT","œdème, éléments"
"FR100517","c33","Classe 2","(SNind,1)-(SN∅,1)","EVENT/CLINENTITY -> EVENT/CLINENTITY","dermatomyosite, dermatomyosite"
"FR100517","c73","Classe 1","(SNind,1)-(SNdef,1)","EVENT -> EVENT","dyspnée, dyspnée"
"FR100517","c86","Classe 3","(SNdef,1)-(Pro,1)-(SNdef,1)","EVENT -> Non annoté -> EVENT","tomodensitométrie, y, tomodensitométrie"
"FR100517","c96","Classe 3","(SNind,1)-(SNdef,2)-(Pro,1)","EVENT/CLINENTITY -> EVENT/CLINENTITY -> EVENT/CLINENTITY -> Non annoté","pneumomédiastin, pneumomédiastin, pneumomédiastin, qui"
"FR100517","c100","Classe 2","(SNind,1)-(SN∅,1)","EVENT -> EVENT","traitement, traitement"
"FR100519","c1","Classe 1","(SNind,1)-(Pro,1)-(SNdef,1)-(Pro,2)-(SNdef,1)","ACTOR (PATIENT) -> ACTOR (PATIENT) -> ACTOR (PATIENT) -> ACTOR (PATIENT) -> ACTOR (PATIENT) -> ACTOR (PATIENT)","La patiente, Elle, La patiente, Elle, Elle, La patiente"
"FR100519","c6","Classe 2","(SN∅,1)-(SNind,1)-(SNdef,1)-(SN∅,1)","EVENT -> EVENT -> EVENT -> EVENT","embolie, embolie, embolie, embolie"
"FR100519","c11","Classe 1","(SNind,1)-(SNdef,1)","EVENT -> EVENT","plâtre, plâtre"
"FR100519","c38","Classe 3","(Np,1)-(SNdef,2)","EVENT -> EVENT -> EVENT","enoxaparine, enoxaparine, enoxaparine"
"FR100519","c41","Classe 2","(SNind,1)-(Np,1)","EVENT -> Non annoté","analgésie, Paracétamol et Tramadol"
"FR100519","c64","Classe 3","(SNdef,2)","EVENT -> EVENT","diagnostic, diagnostic"
"FR100519","c68","Classe 3","(SNdef,3)","EVENT -> EVENT -> EVENT","Fluindione, Fluindione, Fluindione"
"FR100519","c81","Classe 3","(SNdef,2)","BODYPART -> BODYPART","du foie, du foie"
"FR100519","c80","Classe 1","(SNind,2)","EVENT -> EVENT","hématome, hématome"
"FR100519","c99","Classe 2","(SNnum,1)-(SN∅,1)","Non annoté -> BODYPART","poches, PFC"
"FR100519","c106","Classe 2","(SN∅,1)-(SNind,1)","EVENT -> EVENT","TDM, tomodensitométrie"
"FR100579","c3","Classe 1","(SNind,1)-(Pro,1)","ACTOR (PATIENT) -> Non annoté","un patient âgé de 50 ans, qui"
"FR100589","c1","Classe 3","(Np,1)-(Poss,1)-(SNdef,1)-(Poss,1)-(SNdef,3)","ACTOR (PATIENT) -> ACTOR (OTHER) -> ACTOR (PATIENT) -> ACTOR (OTHER) -> ACTOR (PATIENT) -> ACTOR (PATIENT) -> ACTOR (PATIENT)","Mr M.A âgé de 53 ans, son entourage, Le patient, son entourage, Le patient, Le patient, Le patient"
"FR100589","c24","Classe 1","(SNind,1)-(SNdef,1)","EVENT -> EVENT","adénopathie, adénopathie"
"FR100589","c31","Classe 3","(SNdef,2)","BODYPART -> BODYPART","des deux champs pulmonaires, des deux champs pulmonaires"
"FR100589","c35","Classe 1","(SNind,1)-(SNdem,1)","EVENT -> Non annoté","aspect, ce tableau"
"FR100589","c36","Classe 1","(SNind,2)","EVENT -> EVENT","pneumopathie, pneumopathie"
"FR100589","c38","Classe 3","(Pro,2)","ACTOR (H-PROFESSIONAL) -> ACTOR (H-PROFESSIONAL)","nous, nous"
"FR100589","c41","Classe 2","(SNind,1)-(SN∅,1)","EVENT -> EVENT","tuberculose, tuberculose"
"FR100589","c48","Classe 1","(SNind,1)-(Poss,1)","EVENT/CLINENTITY -> Non annoté","sarcoïdose, sa"
"FR100589","c58","Classe 2","(SNdef,1)-(SN∅,2)","EVENT -> EVENT -> EVENT","Bacille, BK, BK"
"FR100589","c109","Classe 1","(SNind,1)-(Pro,1)","EVENT -> Non annoté","myélogramme, qui"
"FR100589","c126","Classe 3","(SNdef,1)-(Pro,1)","EVENT -> Non annoté","sérologie, qui"
"FR100597","c1","Classe 3","(SNind,1)-(SNdef,1)-(Pro,2)-(SNdef,3)","ACTOR (PATIENT) -> ACTOR (PATIENT) -> ACTOR (PATIENT) -> ACTOR (PATIENT) -> ACTOR (PATIENT) -> ACTOR (PATIENT) -> ACTOR (PATIENT)","La patiente, La patiente, Elle, Elle, La patiente, La patiente, La patiente"
"FR100597","c13","Classe 1","(SNind,2)","EVENT -> EVENT","masse, masse"
"FR100597","c30","Classe 1","(SNind,1)-(Pro,1)-(Poss,1)","BODYPART -> Non annoté -> Non annoté","un col, qui, son"
"FR100597","c33","Classe 1","(SNdef,1)-(SNind,1)-(SNdef,2)","BODYPART -> BODYPART -> BODYPART -> BODYPART","L'utérus, L'utérus, L'utérus, L'utérus"
"FR100597","c43","Classe 1","(SNind,1)-(SNposs,1)","EVENT -> EVENT","échographie, exploration"
"FR100597","c48","Classe 1","(SNind,2)-(Poss,1)-(SNdef,1)","EVENT -> EVENT -> Non annoté -> EVENT","masse, masse, son, masse"
"FR100597","c56","Classe 3","(Pro,1)-(Poss,1)-(SNdef,1)-(Pro,2)","ACTOR (H-PROFESSIONAL) -> Non annoté -> ACTOR (H-PROFESSIONAL) -> ACTOR (H-PROFESSIONAL) -> ACTOR (H-PROFESSIONAL)","Nous, notre, staff, Nous, On"
"FR100597","c58","Classe 1","(SNind,1)-(Pro,1)","EVENT -> Non annoté","scanner, qui"
"FR100597","c70","Classe 3","(SNdef,2)","BODYPART -> BODYPART","la face interne des vaisseaux iliaques au sein des deux loges ovariennes, la face interne des vaisseaux iliaques au sein des deux loges ovariennes"
"FR100597","c75","Classe 3","(SNdef,1)-(Pro,1)","BODYPART -> Non annoté","la vessie, qui"
"FR100597","c83","Classe 1","(SNnum,1)-(SNind,1)","EVENT -> EVENT","diagnostics, sacome"
"FR100597","c86","Classe 1","(SNind,2)","EVENT -> EVENT","syndrome, syndrome"
"FR100597","c87","Classe 2","(SN∅,2)","CLINENTITY -> CLINENTITY","syndrome de krukenberg, syndrome de krukenberg"
"FR100597","c89","Classe 1","(SNind,1)-(Pro,1)","EVENT -> Non annoté","IRM, qui"
"FR100597","c95","Classe 3","(SNdef,1)-(Pro,1)","EVENT -> Non annoté","marqueurs, tous"
"FR100597","c99","Classe 1","(SNind,1)-(SNdef,1)","EVENT -> EVENT","laparotomie, intervention"
"FR100597","c102","Classe 3","(SNdef,2)","BODYPART -> BODYPART","l'annexe droite, l'annexe droite"
"FR100597","c106","Classe 1","(SNind,1)-(SNdef,2)","EVENT -> EVENT -> EVENT","masse, tumeur, tumeur"
"FR100597","c117","Classe 1","(SNind,1)-(SNdem,1)","EVENT -> EVENT","hystérectomie, gestes"
"FR100597","c124","Classe 3","(SNdef,2)","EVENT -> EVENT","étude, examen"
"FR100603","c2","Classe 1","(SNdem,2)-(Pro,1)","EVENT -> EVENT -> Non annoté","observation, observation, elle"
"FR100603","c4","Classe 1","(SNind,1)-(Pro,1)-(SNind,1)-(SNdef,1)","ACTOR (PATIENT) -> Non annoté -> ACTOR (PATIENT) -> ACTOR (PATIENT)","une jeune femme âgée de 32 ans, quile, La patiente, La patiente"
"FR100603","c7","Classe 3","(SNdef,3)","CLINENTITY -> CLINENTITY -> CLINENTITY","endocardite communautaire de la valve pulmonaire, endocardite communautaire de la valve pulmonaire, endocardite communautaire de la valve pulmonaire"
"FR100611","c1","Classe 1","(SNind,1)-(Poss,1)","ACTOR (PATIENT) -> Non annoté","Un homme de 30 ans, son"
"FR100611","c3","Classe 2","(SN∅,2)","EVENT -> EVENT","tuberculose, tuberculose"
"FR100611","c19","Classe 3","(SNdef,1)-(Pro,1)","EVENT/CLINENTITY -> Non annoté","tuberculomes, dont"
"FR100614","c1","Classe 3","(SNind,1)-(Poss,2)-(SNdef,1)-(Pro,1)","ACTOR (PATIENT) -> Non annoté -> Non annoté -> ACTOR (PATIENT) -> ACTOR (PATIENT)","La patiente, ses, son, La patiente, elle"
"FR100614","c16","Classe 1","(SNind,2)","EVENT -> EVENT","masse, masse"
"FR100614","c30","Classe 1","(SNind,1)-(SNdef,1)-(Poss,1)","EVENT -> EVENT -> Non annoté","masse, masse, ses"
"FR100614","c42","Classe 3","(SNdef,2)","EVENT -> EVENT","exploration, intervention"
"FR100614","c61","Classe 1","(SNind,1)-(Pro,1)","EVENT -> ACTOR (PATIENT)","sérologie, elle"
"FR100620","c1","Classe 2","(Np,1)-(SNdef,1)","ACTOR (PATIENT) -> ACTOR (PATIENT)","Mr R.Y, Le patient"
"FR100620","c6","Classe 1","(SNind,2)","EVENT -> EVENT","toux, toux"
"FR100620","c27","Classe 3","(SNdef,2)","BODYPART -> BODYPART","l'hémithorax droit, l'hémithorax droit"
"FR100620","c31","Classe 3","(SNdef,2)","BODYPART -> BODYPART","du thorax, du thorax"
"FR100620","c34","Classe 1","(SNind,1)-(SNdef,1)","EVENT/CLINENTITY -> EVENT/CLINENTITY","pneumothorax, pneumothorax"
"FR100620","c35","Classe 2","(SNdef,1)-(SN∅,1)","BODYPART -> Non annoté","Le parenchyme pulmonaire gauche, siège"
"FR100620","c36","Classe 3","(SN∅,1)-(Pro,1)-(SNdef,1)-(Sujet_zero,1)-(SNdef,1)-(SN∅,1)-(Pro,1)","EVENT -> Non annoté -> EVENT -> Non annoté -> EVENT -> EVENT -> ACTOR (PATIENT)","images, qui, lésions, étaient, images, formations, Mr R.Y"
"FR100620","c38","Classe 3","(SNdef,2)","BODYPART -> BODYPART","aux territoires supérieurs, des lobes supérieurs"
"FR100620","c39","Classe 1","(SNind,2)","EVENT -> EVENT","distension, distension"
"FR100620","c40","Classe 2","(SNind,1)-(SN∅,1)","EVENT -> EVENT","drainage, drainage"
"FR100620","c55","Classe 3","(SNdef,2)","BODYPART -> BODYPART","des deux pyramides basales, des deux pyramides basales"
"FR100620","c69","Classe 2","(SN∅,1)-(SNdef,1)","EVENT -> EVENT","biopsies, biopsies"
"FR100620","c87","Classe 3","(SNdef,2)","EVENT -> EVENT","Histiocytose, Histiocytose"
"FR100620","c108","Classe 1","(SNind,1)-(SNdef,1)","EVENT -> EVENT","biopsie, biopsie"
"FR100623","c1","Classe 3","(Pro,2)","ACTOR (H-PROFESSIONAL) -> ACTOR (H-PROFESSIONAL)","Nous, Nous"
"FR100623","c3","Classe 1","(SNind,1)-(Pro,1)","ACTOR (PATIENT) -> Non annoté","une patiente de 7 ans, qui"
"FR100623","c13","Classe 3","(SNdef,2)","EVENT -> EVENT","échographie, échographie"
"FR100623","c14","Classe 1","(SNind,1)-(SNdem,1)","EVENT/CLINENTITY -> EVENT/CLINENTITY","masse, masse"
"FR100623","c20","Classe 3","(SNdef,2)-(Poss,1)","BODYPART -> BODYPART -> Non annoté","des vaisseaux mésentériques, des vaisseaux mésentériques, leur"
"FR100623","c26","Classe 3","(SNdef,3)","BODYPART -> BODYPART -> BODYPART","du mésentère, du mésentère, du mésentère"
"FR100623","c25","Classe 2","(SN∅,3)","EVENT/CLINENTITY -> EVENT/CLINENTITY -> EVENT/CLINENTITY","volvulus, volvulus, volvulus"
"FR100623","c22","Classe 1","(SNind,1)-(SNdef,1)","EVENT -> CLINENTITY","formation, lipome"
"FR100623","c29","Classe 3","(SNdef,3)","EVENT -> EVENT -> EVENT","diagnostic, diagnostic, diagnostic"
"FR100629","c1","Classe 1","(Pro,1)-(SNind,1)-(SNdef,1)-(Poss,1)","Non annoté -> ACTOR (PATIENT) -> ACTOR (PATIENT) -> Non annoté","qui, la patiente, la patiente, sa"
"FR100629","c13","Classe 2","(SN∅,2)","RML -> RML","138 battement par minute, 138 battement par minute"
"FR100629","c19","Classe 3","(SNdef,2)","BODYPART -> BODYPART","l'hémi thorax droit, l'hémi-champ thoracique droit"
"FR100629","c25","Classe 1","(SNind,1)-(Pro,1)","EVENT -> Non annoté","examen, qui"
"FR100629","c35","Classe 1","(SNind,1)-(Pro,1)","EVENT -> Non annoté","sarcome, dont"
"FR100629","c56","Classe 1","(SNind,1)-(SNposs,1)","EVENT -> EVENT","chimiothérapie, chimiothérapie"
"FR100629","c59","Classe 2","(Autre,2)","TIMEX3 -> TIMEX3","J1, J1"
"FR100632","c1","Classe 1","(SNind,3)-(SNdef,1)","ACTOR (PATIENT) -> ACTOR (PATIENT) -> ACTOR (PATIENT) -> ACTOR (PATIENT)","Un homme âgé de 59 ans, un patient, un patient, L epatient"
"FR100632","c4","Classe 3","(SNdef,2)","CLINENTITY -> CLINENTITY","trouble de l'équilibre, trouble de l'équilibre"
"FR100632","c6","Classe 3","(SNdef,2)","BODYPART -> BODYPART","aux membres inferieurs, aux membres inferieurs"
"FR100632","c5","Classe 3","(SNdef,2)","EVENT -> EVENT","paresthésies, paresthésies"
"FR100632","c7","Classe 3","(SNdef,2)","EVENT -> EVENT","troubles, troubles"
"FR100632","c3","Classe 2","(SNind,1)-(SN∅,1)","EVENT -> EVENT","trouble, trouble"
"FR100632","c31","Classe 2","(Autre,2)","BODYPART -> BODYPART","D 6, D6"
"FR100632","c47","Classe 1","(SNind,2)","EVENT -> EVENT","myélite, myélite"
"FR100632","c51","Classe 2","(Pro,1)-(SNnum,1)","Non annoté -> RML","dont, 40 éléments/mm 3"
"FR100632","c109","Classe 3","(SNdef,2)","BODYPART -> BODYPART","les anticorps anti NMO, les anticorps anti NMO"
"FR100632","c122","Classe 3","(SNdef,1)-(Pro,1)","EVENT -> Non annoté","diagnostic, celui"
"FR100658","c4","Classe 2","(SN∅,1)-(Np,1)","EVENT -> EVENT/CLINENTITY","broncho-pneumopathie, BPCO"
"FR100658","c1","Classe 1","(SNind,1)-(Poss,1)-(SNind,1)-(SNdef,3)","ACTOR (PATIENT) -> Non annoté -> ACTOR (PATIENT) -> ACTOR (PATIENT) -> ACTOR (PATIENT) -> ACTOR (PATIENT)","Le patient, sa, Le patient, Le patient, Le patient, Le patient"
"FR100658","c10","Classe 2","(SNind,1)-(SN∅,1)","CLINENTITY -> CLINENTITY","lésion de la base de la langue, cystadénolymphome"
"FR100658","c16","Classe 1","(SNind,1)-(SNdef,1)","EVENT/CLINENTITY -> EVENT/CLINENTITY","tabagisme, tabagisme"
"FR100658","c42","Classe 3","(SNdef,2)","BODYPART -> BODYPART","l'hémi larynx gauche, l'hémi larynx gauche"
"FR100658","c43","Classe 3","(SNdef,2)","BODYPART -> BODYPART","du sinus piriforme gauche, du sinus piriforme gauche"
"FR100658","c40","Classe 1","(SNind,2)-(SNdem,1)","EVENT -> EVENT -> EVENT","processus, processus, processus"
